freq,psd,channel,stem,participant,condition
15.0,0.951657735331081,Fz,7102 aut,7102,aut
15.5,0.9514451611600137,Fz,7102 aut,7102,aut
16.0,0.9689073396157364,Fz,7102 aut,7102,aut
16.5,1.0066971582927218,Fz,7102 aut,7102,aut
17.0,0.9736162306231205,Fz,7102 aut,7102,aut
17.5,0.921556826710787,Fz,7102 aut,7102,aut
18.0,0.9509506183152455,Fz,7102 aut,7102,aut
18.5,1.7431607374456992,Fz,7102 aut,7102,aut
19.0,1.1221686943192482,Fz,7102 aut,7102,aut
19.5,0.8441832918399078,Fz,7102 aut,7102,aut
20.0,0.8582358086807913,Fz,7102 aut,7102,aut
20.5,0.8827629654651256,Fz,7102 aut,7102,aut
21.0,0.877343455435634,Fz,7102 aut,7102,aut
21.5,0.760165952834151,Fz,7102 aut,7102,aut
22.0,0.7528049905246516,Fz,7102 aut,7102,aut
22.5,0.7127800999690144,Fz,7102 aut,7102,aut
23.0,0.654805468824603,Fz,7102 aut,7102,aut
23.5,0.5805134643344675,Fz,7102 aut,7102,aut
24.0,0.5763743088227871,Fz,7102 aut,7102,aut
24.5,0.7169460447288671,Fz,7102 aut,7102,aut
25.0,0.5813946129063677,Fz,7102 aut,7102,aut
25.5,0.5510707578744964,Fz,7102 aut,7102,aut
26.0,0.5064989019770991,Fz,7102 aut,7102,aut
26.5,0.530683814961234,Fz,7102 aut,7102,aut
27.0,0.5275274155034487,Fz,7102 aut,7102,aut
27.5,0.5170844034169417,Fz,7102 aut,7102,aut
28.0,0.5395494883746785,Fz,7102 aut,7102,aut
28.5,0.5130270973573534,Fz,7102 aut,7102,aut
29.0,0.46365024277426836,Fz,7102 aut,7102,aut
29.5,0.4117870889679153,Fz,7102 aut,7102,aut
30.0,0.39829428775599407,Fz,7102 aut,7102,aut
30.5,0.4070378366591503,Fz,7102 aut,7102,aut
31.0,0.4202926382650651,Fz,7102 aut,7102,aut
31.5,0.350567771115695,Fz,7102 aut,7102,aut
32.0,0.35226919643582427,Fz,7102 aut,7102,aut
32.5,0.33981078371074086,Fz,7102 aut,7102,aut
33.0,0.36196845271100536,Fz,7102 aut,7102,aut
33.5,0.35407798964494286,Fz,7102 aut,7102,aut
34.0,0.46085083499571833,Fz,7102 aut,7102,aut
34.5,0.494375364264797,Fz,7102 aut,7102,aut
35.0,0.4105861756895264,Fz,7102 aut,7102,aut
35.5,0.40151748968836254,Fz,7102 aut,7102,aut
36.0,0.35801585214587567,Fz,7102 aut,7102,aut
36.5,0.39279830412319405,Fz,7102 aut,7102,aut
37.0,0.3847792931412181,Fz,7102 aut,7102,aut
37.5,0.385233913093292,Fz,7102 aut,7102,aut
38.0,0.4319978461691892,Fz,7102 aut,7102,aut
38.5,0.3831543492760854,Fz,7102 aut,7102,aut
39.0,0.3629065822733084,Fz,7102 aut,7102,aut
39.5,0.31077781634782065,Fz,7102 aut,7102,aut
40.0,0.34559532236285323,Fz,7102 aut,7102,aut
1.0,71.59093124679991,Fz,7103 amo,7103,amo
1.5,35.03451528426613,Fz,7103 amo,7103,amo
2.0,16.353270264227884,Fz,7103 amo,7103,amo
2.5,10.902490940358248,Fz,7103 amo,7103,amo
3.0,9.533908532694259,Fz,7103 amo,7103,amo
3.5,9.800484515561392,Fz,7103 amo,7103,amo
4.0,8.359199532778709,Fz,7103 amo,7103,amo
4.5,6.250421224115941,Fz,7103 amo,7103,amo
5.0,6.302533318712917,Fz,7103 amo,7103,amo
5.5,5.58219519125829,Fz,7103 amo,7103,amo
6.0,5.700747556465512,Fz,7103 amo,7103,amo
6.5,6.116805011480189,Fz,7103 amo,7103,amo
7.0,4.576502986939056,Fz,7103 amo,7103,amo
7.5,4.37963626824205,Fz,7103 amo,7103,amo
8.0,4.2236097561928405,Fz,7103 amo,7103,amo
8.5,3.977481955161141,Fz,7103 amo,7103,amo
9.0,4.135230734204722,Fz,7103 amo,7103,amo
9.5,3.6554916827478787,Fz,7103 amo,7103,amo
10.0,2.8881194229880847,Fz,7103 amo,7103,amo
10.5,2.8483556216891013,Fz,7103 amo,7103,amo
11.0,3.095843633345472,Fz,7103 amo,7103,amo
